Index       FREQ              VR(B)             VI(B)             VP(B)             VM(B)             R1:R              C1:C       
0        1.00000000e+02    1.57913421e-06    1.25663508e-03    1.56953969e+00    1.25663607e-03    1.00000000e+00    1.00000000e-06
1        1.58489319e+02    3.96659633e-06    1.99162762e-03    1.56880469e+00    1.99163157e-03    1.00000000e+00    1.00000000e-06
2        2.51188643e+02    9.96357974e-06    3.15649813e-03    1.56763981e+00    3.15651386e-03    1.00000000e+00    1.00000000e-06
3        3.98107171e+02    2.50270038e-05    5.00263705e-03    1.56579361e+00    5.00269965e-03    1.00000000e+00    1.00000000e-06
4        6.30957344e+02    6.28626126e-05    7.92834540e-03    1.56286765e+00    7.92859461e-03    1.00000000e+00    1.00000000e-06
5        1.00000000e+03    1.57888738e-04    1.25643865e-02    1.55823062e+00    1.25653785e-02    1.00000000e+00    1.00000000e-06
6        1.58489319e+03    3.96503928e-04    1.99084583e-02    1.55088260e+00    1.99124064e-02    1.00000000e+00    1.00000000e-06
7        2.51188643e+03    9.95376141e-04    3.15338765e-02    1.53924151e+00    3.15495823e-02    1.00000000e+00    1.00000000e-06
8        3.98107171e+03    2.49651483e-03    4.99027278e-02    1.52081038e+00    4.99651361e-02    1.00000000e+00    1.00000000e-06
9        6.30957344e+03    6.24738131e-03    7.87930932e-02    1.49167342e+00    7.90403777e-02    1.00000000e+00    1.00000000e-06
10       1.00000000e+04    1.55458764e-02    1.23710154e-01    1.44578789e+00    1.24683104e-01    1.00000000e+00    1.00000000e-06
11       1.58489319e+04    3.81527491e-02    1.91564915e-01    1.37420517e+00    1.95327287e-01    1.00000000e+00    1.00000000e-06
12       2.51188643e+04    9.06088183e-02    2.87052017e-01    1.26504160e+00    3.01012987e-01    1.00000000e+00    1.00000000e-06
13       3.98107171e+04    2.00176794e-01    4.00132534e-01    1.10692776e+00    4.47411213e-01    1.00000000e+00    1.00000000e-06
14       6.30957344e+04    3.86000434e-01    4.86830668e-01    9.00409260e-01    6.21289332e-01    1.00000000e+00    1.00000000e-06
15       1.00000000e+05    6.12273363e-01    4.87231661e-01    6.72159234e-01    7.82478986e-01    1.00000000e+00    1.00000000e-06
16       1.58489319e+05    7.98655504e-01    4.01004850e-01    4.65326119e-01    8.93675279e-01    1.00000000e+00    1.00000000e-06
17       2.51188643e+05    9.08789741e-01    2.87907880e-01    3.06800786e-01    9.53304642e-01    1.00000000e+00    1.00000000e-06
18       3.98107171e+05    9.61579291e-01    1.92209672e-01    1.97289376e-01    9.80601495e-01    1.00000000e+00    1.00000000e-06
19       6.30957344e+05    9.84342355e-01    1.24147023e-01    1.25459376e-01    9.92140290e-01    1.00000000e+00    1.00000000e-06
20       1.00000000e+06    9.93707275e-01    7.90767124e-02    7.94101302e-02    9.96848672e-01    1.00000000e+00    1.00000000e-06
0        1.00000000e+02    3.94768591e-05    6.28293727e-03    1.56451322e+00    6.28306129e-03    1.00000000e+00    5.00000000e-06
1        1.58489319e+02    9.91554687e-05    9.95719021e-03    1.56083848e+00    9.95768390e-03    1.00000000e+00    5.00000000e-06
2        2.51188643e+02    2.49029944e-04    1.57787176e-02    1.55501499e+00    1.57806826e-02    1.00000000e+00    5.00000000e-06
3        3.98107171e+02    6.25299509e-04    2.49981701e-02    1.54578773e+00    2.50059895e-02    1.00000000e+00    5.00000000e-06
4        6.30957344e+02    1.56919786e-03    3.95820095e-02    1.53117286e+00    3.96131021e-02    1.00000000e+00    5.00000000e-06
5        1.00000000e+03    3.93231759e-03    6.25847783e-02    1.50804696e+00    6.27081940e-02    1.00000000e+00    5.00000000e-06
6        1.58489319e+03    9.81915817e-03    9.86039670e-02    1.47154177e+00    9.90916655e-02    1.00000000e+00    5.00000000e-06
7        2.51188643e+03    2.43038092e-02    1.53990695e-01    1.41426105e+00    1.55896790e-01    1.00000000e+00    5.00000000e-06
8        3.98107171e+03    5.88847133e-02    2.35408801e-01    1.32568768e+00    2.42661726e-01    1.00000000e+00    5.00000000e-06
9        6.30957344e+03    1.35820060e-01    3.42597389e-01    1.19336078e+00    3.68537732e-01    1.00000000e+00    5.00000000e-06
10       1.00000000e+04    2.83043200e-01    4.50477243e-01    1.00981421e+00    5.32018045e-01    1.00000000e+00    5.00000000e-06
11       1.58489319e+04    4.97904508e-01    4.99995609e-01    7.87493661e-01    7.05623489e-01    1.00000000e+00    5.00000000e-06
12       2.51188643e+04    7.13542542e-01    4.52105721e-01    5.64764862e-01    8.44714473e-01    1.00000000e+00    5.00000000e-06
13       3.98107171e+04    8.62200256e-01    3.44689679e-01    3.80315968e-01    9.28547390e-01    1.00000000e+00    5.00000000e-06
14       6.30957344e+04    9.40179370e-01    2.37154216e-01    2.47089156e-01    9.69628470e-01    1.00000000e+00    5.00000000e-06
15       1.00000000e+05    9.75295477e-01    1.55223096e-01    1.57831190e-01    9.87570492e-01    1.00000000e+00    5.00000000e-06
16       1.58489319e+05    9.90016503e-01    9.94174377e-02    1.00084457e-01    9.94995730e-01    1.00000000e+00    5.00000000e-06
17       2.51188643e+05    9.96001471e-01    6.31073744e-02    6.32761388e-02    9.97998733e-01    1.00000000e+00    5.00000000e-06
18       3.98107171e+05    9.98404317e-01    3.99141221e-02    3.99566366e-02    9.99201840e-01    1.00000000e+00    5.00000000e-06
19       6.30957344e+05    9.99364136e-01    2.52083193e-02    2.52190108e-02    9.99682018e-01    1.00000000e+00    5.00000000e-06
20       1.00000000e+06    9.99746761e-01    1.59114639e-02    1.59141507e-02    9.99873373e-01    1.00000000e+00    5.00000000e-06
End of Xyce(TM) Parameter Sweep
